mode,start_station_id,start_station_name,trips,start_trips,end_trips,touchpoints,station_lat,station_lng,year_min,year_max,years_count,months_count,data_quality,crashes_within_500m,crashes_within_500m_per_100k_trips,risk_proxy_available
jc,3183,Exchange Place,11839,5303,6536,11839,40.7162469,-74.0334588,2019,2019,1,5,lifetime_aggregate,0,0.0,0
jc,3184,Paulus Hook,34804,16897,17907,34804,40.7141454,-74.0335519,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3185,City Hall,39993,19464,20529,39993,40.7177325,-74.043845,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3186,Grove St PATH,152521,68657,83864,152521,40.71958611647166,-74.04311746358871,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3187,Warren St,37726,18784,18942,37726,40.7211236,-74.03805095,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3192,Liberty Light Rail,50521,24790,25731,50521,40.7112423,-74.0557013,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3194,McGinley Square,21757,12699,9058,21757,40.7253399253558,-74.06762212514877,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3195,Sip Ave,62416,32283,30133,62416,40.73088422514886,-74.06390190124512,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3196,Riverview Park,7613,4031,3582,7613,40.7443187,-74.0439909,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3198,Heights Elevator,10977,5671,5306,10977,40.74871594538023,-74.04044330120087,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3199,Newport Pkwy,60740,30208,30532,60740,40.7287448,-74.0321082,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3201,Dey St,6124,2758,3366,6124,40.737711,-74.066921,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3202,Newport PATH,59738,29598,30140,59738,40.7272235,-74.0337589,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3203,Hamilton Park,74661,38259,36402,74661,40.727595966,-74.044247311,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3205,JC Medical Center,34536,17101,17435,34536,40.71653978099194,-74.0496379137039,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3206,Hilltop,10737,5953,4784,10737,40.7311689,-74.0575736,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3207,Oakland Ave,11906,7024,4882,11906,40.7376037,-74.0524783,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3209,Brunswick St,26657,13761,12896,26657,40.7241765,-74.0506564,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3210,Pershing Field,15616,8079,7537,15616,40.742677141,-74.051788633,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3211,Newark Ave,37136,18159,18977,37136,40.72152515,-74.046304543,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3212,Christ Hospital,6978,4006,2972,6978,40.734785818,-74.050443636,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3213,Van Vorst Park,30073,15659,14414,30073,40.71848892,-74.047726625,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3214,Essex Light Rail,21342,10455,10887,21342,40.7127742,-74.0364857,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3220,5 Corners Library,7815,4250,3565,7815,40.73496102000952,-74.0595030784607,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3225,Baldwin at Montgomery,16819,8698,8121,16819,40.7236589,-74.0641943,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3267,Morris Canal,36233,18882,17351,36233,40.7124188237569,-74.03852552175522,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3268,Lafayette Park,13052,6438,6614,13052,40.71346382669195,-74.06285852193832,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3269,Brunswick & 6th,28272,14965,13307,28272,40.72601172964625,-74.05038893222809,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3270,Jersey & 6th St,25995,14193,11802,25995,40.72528910781132,-74.04557168483734,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3272,Jersey & 3rd,29286,14956,14330,29286,40.72333158646436,-74.04595255851744,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3273,Manila & 1st,25624,12535,13089,25624,40.72165072487999,-74.04288411140442,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3275,Columbus Drive,31470,15595,15875,31470,40.71835519823214,-74.03891444206238,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3276,Marin Light Rail,54386,27252,27134,54386,40.71458403535893,-74.04281705617905,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3277,Communipaw & Berry Lane,8254,4039,4215,8254,40.71435836870427,-74.06661093235016,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3278,Monmouth and 6th,24248,12565,11683,24248,40.72568548362901,-74.04879033565521,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3279,Dixon Mills,21564,11189,10375,21564,40.721630142638354,-74.04996782541275,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3280,Astor Place,14509,7210,7299,14509,40.71928220070702,-74.07126188278198,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3281,Leonard Gordon Park,6410,3362,3048,6410,40.74590996631558,-74.0572714805603,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3426,JCBS Depot,198,44,154,198,40.70965083364061,-74.06860113143921,2019,2020,2,11,lifetime_aggregate,0,0.0,0
jc,3481,York St,13610,6752,6858,13610,40.71649,-74.04105,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3483,Montgomery St,16285,8157,8128,16285,40.71942,-74.05099,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3638,Washington St,36913,18271,18642,36913,40.7242941,-74.0354826,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3639,Harborside,60297,30148,30149,60297,40.7192517,-74.034234,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3640,Journal Square,19796,10568,9228,19796,40.73367,-74.0625,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3677,Glenwood Ave,7533,4123,3410,7533,40.72755146730012,-74.07106071710587,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3678,Fairmount Ave,11960,6648,5312,11960,40.72572613742557,-74.07195925712585,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3679,Bergen Ave,12933,6688,6245,12933,40.722103786686034,-74.07145500183105,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3681,Grand St,22398,11180,11218,22398,40.71517767732029,-74.03768330812454,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3791,Hoboken Ave at Monmouth St,11129,5429,5700,11129,40.73520838045357,-74.04696375131607,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3792,Columbus Dr at Exchange Pl,44988,21125,23863,44988,40.71687,-74.03281,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,HB101,Hoboken Terminal - Hudson St & Hudson Pl,107005,53057,53948,107005,40.735935552976635,-74.03031622702115,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB102,Hoboken Terminal - River St & Hudson Pl,121830,60305,61525,121830,40.73607661607275,-74.02914031141226,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB103,South Waterfront Walkway - Sinatra Dr & 1 St,96084,48184,47900,96084,40.73699364177384,-74.02778377108882,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB105,City Hall - Washington St & 1 St,85411,42485,42926,85411,40.73734371474922,-74.03098566038584,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB106,River St & Newark St,43486,21373,22113,43486,40.73672227316332,-74.02900660353771,2025,2025,1,7,lifetime_aggregate,0,0.0,0
jc,HB201,12 St & Sinatra Dr N,66499,32863,33636,66499,40.75059467623016,-74.02404989538064,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB202,14 St Ferry - 14 St & Shipyard Ln,68155,33975,34180,68155,40.75292043241286,-74.02434452033502,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB203,Bloomfield St & 15 St,46730,23330,23400,46730,40.75449771881579,-74.02658812557641,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB301,4 St & Grand St,46547,23330,23217,46547,40.74225385798773,-74.0351031486465,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB302,6 St & Grand St,35789,18003,17786,35789,40.74438159525705,-74.03449357112699,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB303,Clinton St & 7 St,59638,29666,29972,59638,40.745408725961646,-74.03333236797171,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB304,7 St & Monroe St,50494,25198,25296,50494,40.74640362358267,-74.03799560280102,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB305,9 St HBLR - Jackson St & 8 St,56946,28276,28670,56946,40.747908169940594,-74.0384117037277,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB401,Southwest Park - Jackson St & Observer Hwy,49819,24769,25050,49819,40.73755590725073,-74.0416591547661,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB402,Madison St & 1 St,58906,29693,29213,58906,40.73878248243147,-74.03928653095069,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB404,Mama Johnson Field - 4 St & Jackson St,32098,16075,16023,32098,40.74313687364499,-74.04004515247838,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB407,Adams St & 2 St,45072,22488,22584,45072,40.73980288998553,-74.03689949093469,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB408,Marshall St & 2 St,50779,25355,25424,50779,40.740780438243895,-74.04253074251234,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB409,Clinton St & Newark St,48102,23979,24123,48102,40.73743444309654,-74.03570541737086,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB501,Columbus Park - Clinton St & 9 St,68348,34117,34231,68348,40.74815738443504,-74.03245829992186,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB502,11 St & Washington St,76245,38161,38084,76245,40.74997487990786,-74.02717695679762,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB503,Madison St & 10 St,22430,10952,11478,22430,40.7499465800476,-74.03587238842577,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB505,Willow Ave & 12 St,48253,24030,24223,48253,40.75185895828804,-74.03038118337683,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB506,Grand St & 14 St,41325,20487,20838,41325,40.75405743526864,-74.03160309625919,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB507,Adams St & 11 St,9141,4492,4649,9141,40.75083718737861,-74.03356860915594,2023,2023,1,9,lifetime_aggregate,0,0.0,0
jc,HB508,Monroe St & 11 St,15595,7768,7827,15595,40.7501091128573,-74.036636745998,2025,2025,1,12,lifetime_aggregate,0,0.0,0
jc,HB601,Church Sq Park - 5 St & Park Ave,53309,26769,26540,53309,40.74265386018208,-74.03224552984217,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB602,Stevens - River Ter & 6 St,47516,23963,23553,47516,40.74312985550474,-74.02699767009489,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB603,8 St & Washington St,71016,35668,35348,71016,40.74597217568292,-74.0281957345331,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB607,Hudson St & 4 St,24640,12342,12298,24640,40.74094492298108,-74.02861747616673,2023,2023,1,9,lifetime_aggregate,0,0.0,0
jc,HB608,2 St & Park Ave,37473,18774,18699,37473,40.73914946580543,-74.03308143311068,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB609,River St & 1 St,48397,24474,23923,48397,40.737212647560064,-74.02886770233994,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB610,Adams St & 12 St,18102,8987,9115,18102,40.75187798748868,-74.03329446497287,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB611,4 St & River St,37225,18605,18620,37225,40.74081385969923,-74.02741368512818,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB612,Newark St & Washington St,20681,10507,10174,20681,40.73681,-74.0309,2025,2025,1,8,lifetime_aggregate,0,0.0,0
jc,JC002,Paulus Hook,36593,18175,18418,36593,40.71415163448354,-74.03355385708825,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC003,City Hall,57953,29255,28698,57953,40.717733344964216,-74.04384724390725,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC006,Warren St,57200,28386,28814,57200,40.72112764479266,-74.03804750631956,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC008,Newport Pkwy,78787,39323,39464,78787,40.728746495290174,-74.0321081725929,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC009,Hamilton Park,87747,43734,44013,87747,40.72758773534647,-74.0442456604807,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC013,Marin Light Rail,68959,34341,34618,68959,40.71459233962141,-74.04281343626674,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC014,Columbus Drive,59248,29535,29713,59248,40.7183903730582,-74.03890115673437,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC018,5 Corners Library,12482,6680,5802,12482,40.73495550672345,-74.05950524608177,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC019,Hilltop,27056,14549,12507,27056,40.73116212564534,-74.05755120875271,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC020,Baldwin at Montgomery,33825,17085,16740,33825,40.72364511912292,-74.06418918310841,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC022,Oakland Ave,25621,14125,11496,25621,40.73758784368278,-74.05245292046891,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC023,Brunswick St,43343,22034,21309,43343,40.72416552533261,-74.05065486632931,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC024,Pershing Field,26373,13350,13023,26373,40.74264196185809,-74.0517985681907,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC027,Jersey & 6th St,27412,13694,13718,27412,40.72528783301208,-74.04556450547197,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC032,Newark Ave,55623,27720,27903,55623,40.72152539416971,-74.04629855375994,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC034,Christ Hospital,22843,11756,11087,22843,40.734780514156874,-74.05043947326338,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC035,Van Vorst Park,45213,22574,22639,45213,40.71848908393641,-74.04772826829861,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC038,Essex Light Rail,23404,11829,11575,23404,40.71277993664759,-74.0364852993279,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC051,Union St,7622,3758,3864,7622,40.7182003994567,-74.08356973868224,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC052,Liberty Light Rail,61114,30394,30720,61114,40.71125600011699,-74.05569111599195,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC053,Lincoln Park,20863,10306,10557,20863,40.7246134847056,-74.07839623934356,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC055,McGinley Square,39123,21004,18119,39123,40.725354645817355,-74.06759713843722,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC057,Riverview Park,26296,13349,12947,26296,40.744359311250626,-74.04396110577335,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC059,Heights Elevator,16247,8335,7912,16247,40.748713525028975,-74.04045228648924,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC063,Jackson Square,7075,3512,3563,7075,40.71114284691102,-74.07888508889754,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC065,Dey St,13875,7017,6858,13875,40.73770869886403,-74.06692025030902,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC066,Newport PATH,88022,43921,44101,88022,40.72722349330869,-74.03376020896891,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC072,Morris Canal,41635,20855,20780,41635,40.7124127154477,-74.03850231134098,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC074,Jersey & 3rd,35531,17770,17761,35531,40.723333083886224,-74.04592945603672,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC075,Monmouth & 6th,13740,6831,6909,13740,40.72568548362901,-74.04879033565521,2025,2025,1,12,lifetime_aggregate,0,0.0,0
jc,JC075,Monmouth and 6th,13883,6922,6961,13883,40.72566898039608,-74.04879460095627,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC076,Dixon Mills,28287,14122,14165,28287,40.721635407988,-74.04997321380024,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC077,Astor Place,16247,8143,8104,16247,40.7192839986223,-74.07124514118823,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC078,Lafayette Park,30089,15024,15065,30089,40.713480135962016,-74.06283512588007,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC080,Leonard Gordon Park,16437,8670,7767,16437,40.74588887675995,-74.05725334228431,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC081,Brunswick & 6th,37877,18892,18985,37877,40.72602021954028,-74.05038648456343,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC082,Manila & 1st,53354,26537,26817,53354,40.72165900129145,-74.04288378539178,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC084,Communipaw & Berry Lane,17765,8817,8948,17765,40.71437546561646,-74.06659642230437,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC093,Fairmount Ave,20445,11082,9363,20445,40.72573304120194,-74.07193884035188,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC094,Glenwood Ave,13778,7728,6050,13778,40.727563964192576,-74.07103950772363,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC095,Bergen Ave,22232,11294,10938,22232,40.722108472655016,-74.07143124285724,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC097,York St & Marin Blvd,18791,9147,9644,18791,40.71662411329032,-74.04240624232183,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC098,Washington St,55247,27671,27576,55247,40.72429303156854,-74.03548859483361,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC099,Montgomery St,27159,13504,13655,27159,40.719424593375,-74.05098571958345,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC102,Grand St,43846,21838,22008,43846,40.715176579186995,-74.0376850764864,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC103,Journal Square,35029,17858,17171,35029,40.73367598774171,-74.06248674430744,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC104,Harborside,55414,27572,27842,55414,40.71926017660009,-74.03423803498062,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC105,Hoboken Ave at Monmouth St,70930,34979,35951,70930,40.73521400042389,-74.04694281528727,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC106,Columbus Dr at Exchange Pl,1295,639,656,1295,40.716877028405406,-74.03283056046486,2023,2023,1,1,lifetime_aggregate,0,0.0,0
jc,JC107,Grant Ave & MLK Dr,2267,1092,1175,2267,40.70924635695269,-74.0807671076319,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC108,Bergen Ave & Stegman St,5177,2458,2719,5177,40.70661869831339,-74.08667218602143,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC109,Bergen Ave & Sip Ave,81374,40969,40405,81374,40.731020726599034,-74.06442101921235,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC110,JC Medical Center,43800,21814,21986,43800,40.71540012345123,-74.04968669011637,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC115,Grove St PATH,191696,91829,99867,191696,40.719398021881325,-74.04310199504242,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC116,Exchange Pl,69926,34799,35127,69926,40.716376522969625,-74.03435776586205,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,JC117,Dr. Lena Edwards Park,3106,1536,1570,3106,40.713203,-74.058261,2025,2025,1,5,lifetime_aggregate,0,0.0,0
jc,JC118,Communipaw Ave & Pacific Ave,4005,1996,2009,4005,40.711354,-74.062446,2025,2025,1,4,lifetime_aggregate,0,0.0,0
jc,JC118,Pacific Ave & Communipaw Ave,628,315,313,628,40.711354,-74.062446,2025,2025,1,1,lifetime_aggregate,0,0.0,0
jc,JC119,Garfield Light Rail,515,261,254,515,40.710526,-74.070112,2025,2025,1,4,lifetime_aggregate,0,0.0,0
jc,JC120,Arlington Ave & Bramhall Ave,1246,690,556,1246,40.713225,-74.070645,2025,2025,1,5,lifetime_aggregate,0,0.0,0
jc,JC121,MLK Dr & Bramhall Ave,700,361,339,700,40.71647,-74.07413,2025,2025,1,5,lifetime_aggregate,0,0.0,0
jc,JC122,Union St & Bergen Ave,805,386,419,805,40.71575,-74.07887,2025,2025,1,5,lifetime_aggregate,0,0.0,0
jc,JC123,Carteret Ave & Arlington Ave,1004,506,498,1004,40.709142,-74.074553,2025,2025,1,4,lifetime_aggregate,0,0.0,0
jc,JC124,West Side Ave Light Rail,1030,505,525,1030,40.714964,-74.08829,2025,2025,1,4,lifetime_aggregate,0,0.0,0
jc,JC125,Claremont Ave & JFK Blvd,385,199,186,385,40.71188950748599,-74.08384994659119,2025,2025,1,4,lifetime_aggregate,0,0.0,0
jc,JC127,Arlington Ave & Wilkinson Ave,247,119,128,247,40.704503,-74.07721,2025,2025,1,4,lifetime_aggregate,0,0.0,0
jc,JC130,Woodlawn Ave & Sterling Ave,14,7,7,14,40.7073,-74.09243,2025,2025,1,1,lifetime_aggregate,0,0.0,0
jc,JC131,West Side Ave & Stegman Pkwy,622,305,317,622,40.71087,-74.09368,2025,2025,1,4,lifetime_aggregate,0,0.0,0
jc,JC132,Van Nostrand Ave & Ocean Ave,12,6,6,12,40.69983,-74.08416,2025,2025,1,1,lifetime_aggregate,0,0.0,0
jc,JC133,Richard St Light Rail,12,7,5,12,40.6990691577764,-74.07915010654774,2025,2025,1,1,lifetime_aggregate,0,0.0,0
jc,JC134,Wade St & MLK Dr,6,2,4,6,40.7017,-74.08952,2025,2025,1,1,lifetime_aggregate,0,0.0,0
jc,JC135,Danforth Ave & Sullivan Dr,57,26,31,57,40.70436,-74.09811,2025,2025,1,1,lifetime_aggregate,0,0.0,0
jc,JC137,Ferris Triangle Park,42,21,21,42,40.69877,-74.09216,2025,2025,1,1,lifetime_aggregate,0,0.0,0
jc,JC138,Ocean Ave & New St,24,15,9,24,40.6968,-74.08862,2025,2025,1,1,lifetime_aggregate,0,0.0,0
jc,JC139,Danforth Light Rail,67,31,36,67,40.69277,-74.0878,2025,2025,1,1,lifetime_aggregate,0,0.0,0
jc,JC140,Caven Point Recreation Fields,21,12,9,21,40.69222,-74.08025,2025,2025,1,1,lifetime_aggregate,0,0.0,0
jc,JC142,Culver Ave & JFK Blvd,52,28,24,52,40.71005000000001,-74.08576,2025,2025,1,1,lifetime_aggregate,0,0.0,0
jc,JC143,MLK Dr & Bayview Ave,13,6,7,13,40.7071,-74.08335,2025,2025,1,1,lifetime_aggregate,0,0.0,0
jc,JC144,Danforth Ave & JFK Blvd,13,6,7,13,40.70056,-74.09474,2025,2025,1,1,lifetime_aggregate,0,0.0,0
jc,JC145,Mallory Ave & Roosevelt Ave,52,24,28,52,40.722030000000004,-74.08596,2025,2025,1,1,lifetime_aggregate,0,0.0,0
